"행정구역(시군구)별",2021. 04,2021. 04,2021. 04,2021. 05,2021. 05,2021. 05,2021. 06,2021. 06,2021. 06
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"영광군",52587,26299,26288,52571,26288,26283,52487,26217,26270
"장성군",44078,22627,21451,44029,22601,21428,43915,22524,21391
"완도군",49604,24960,24644,49458,24899,24559,49404,24895,24509
"진도군",30445,15101,15344,30421,15089,15332,30368,15052,15316
"신안군",38741,20679,18062,38724,20671,18053,38687,20652,18035
"경상북도",2635896,1328240,1307656,2633592,1327307,1306285,2632401,1326844,1305557
"포항시",504103,255122,248981,503580,254933,248647,503634,255017,248617
"남구",231264,119459,111805,231084,119382,111702,230984,119367,111617
"북구",272839,135663,137176,272496,135551,136945,272650,135650,137000
"경주시",252869,126589,126280,252830,126552,126278,252602,126429,126173
"김천시",140665,70614,70051,140629,70590,70039,140293,70444,69849
"안동시",158210,78279,79931,157882,78167,79715,157805,78116,79689
"구미시",414730,213007,201723,414525,212907,201618,414284,212841,201443
"영주시",102703,50952,51751,102506,50878,51628,102440,50850,51590
"영천시",102529,52216,50313,102194,52047,50147,102099,51967,50132
"상주시",96793,47438,49355,96337,47254,49083,96273,47235,49038
"문경시",71800,35256,36544,71591,35175,36416,71409,35098,36311
"경산시",264722,133303,131419,265888,133807,132081,266747,134238,132509
"군위군",23063,11789,11274,22942,11737,11205,22924,11730,11194
"의성군",51380,25127,26253,51161,25048,26113,51099,25016,26083
"청송군",24904,12433,12471,24825,12380,12445,24784,12359,12425
"영양군",16516,8183,8333,16494,8187,8307,16411,8179,8232
"영덕군",35962,17031,18931,35912,17021,18891,35779,16972,18807
"청도군",42085,20707,21378,41952,20642,21310,41847,20580,21267
"고령군",31133,15978,15155,31024,15939,15085,30927,15879,15048
"성주군",43118,22314,20804,43004,22260,20744,42964,22238,20726
"칠곡군",114297,59540,54757,114029,59450,54579,114016,59430,54586
"예천군",55716,27393,28323,55800,27416,28384,55784,27398,28386
"봉화군",31236,15746,15490,31142,15702,15440,31084,15680,15404
"울진군",48327,24262,24065,48313,24252,24061,48206,24213,23993
